gov_id,english_name,chinese_name,address,district,latitude,longitude,email,telephone,fax,placement_type,valid_license_since
2621|Vast Sky Employment Limited|昊天僱傭有限公司|Shop 222B, 2nd floor, Seven Seas Shopping Centre, 121 King's Road, North Point, Hong Kong|Eastern District|22.2873295|114.1928394|vastsky_helper@yahoo.com.hk|28068803|28068970|Foreign Domestic Helpers|2015
2624|Maid Best Limited|僱好傭有限公司|Shop 64D of Shop N64, 9 Mount Sterling Mall, Mei Foo Sun Chuen, Mei Foo, Kowloon|Sham Shui Po District|22.337785|114.138823|info@maidbest.com.hk|23709882||Foreign Domestic Helpers, Local Domestic Helpers|2016
2648|BLOOM MAX INTERNATIONAL LIMITED|溢成國際有限公司|Room 1113, 11th floor, Wealth Commercial Centre, 48 Kwong Wa Street, Mong Kok, Kowloon|Yau Tsim Mong District|22.3167039|114.1735912|kevin.ng2012@gmail.com|24116000||Foreign Domestic Helpers|2015
2658|King Master Employment Agency Co.|金達豐僱傭公司|Room 25 Flat C, 12th floor, Tung Chong Factory Building, 657 King's Road, North Point, Hong Kong|Eastern District|22.2918294|114.2078891|kingmaster.enquiry@gmail.com|21873460||Foreign Domestic Helpers|2015
2662|LONG TING EMPLOYMENT AGENCY COMPANY|朗廷僱傭公司|Flat D, 16th floor, Hennessy Apartments, 48 Percival Street, Causeway Bay, Hong Kong|Wan Chai District|22.2797809|114.1830194|| ||Foreign Domestic Helpers|2015
2665|Suerte Employment Agency|一鳴僱傭|Room 26, 12th floor, Shing Yip Industrial Building, 19-21 Shing Yip Street, Kwun Tong, Kowloon|Kwun Tong District|22.3100594|114.2271209|enquiry@jatming.com|36176000|39569226|Foreign Domestic Helpers|2015
2669|KARRYEN EMPLOYMENT AGENCY|迦恩僱傭公司|Shop 258, 2nd floor, New Trend Plaza, 278-288 King's Road, North Point, Hong Kong|Eastern District|22.289464|114.1948104|karryenagency@gmail.com|27088152|27088152|Foreign Domestic Helpers|2015
2672|Sun Yolk Overseas Employment Agency Limited|晨旭海外僱傭中心有限公司|Shop A40, Ground floor, Flora Plaza, 88 Pak Wo Road, Fanling, New Territories|North District|22.4858801|114.141291|sunyolkagency@gmail.com|23660934||Foreign Domestic Helpers|2015
430|Best Choice Employment Center Company Limited|稱心如意僱傭中心有限公司|Office 2, 7th floor, United Success Commercial Centre, 508 Jaffe Road, Causeway Bay, Hong Kong|Wan Chai District|22.2809381|114.183399|fancychau@bestmaids.com.hk|23305339|23305366|Foreign Domestic Helpers, Local Domestic Helpers|2002
617|Yip Sing International Consultant Services Limited|業昇國際顧問服務有限公司|Shopstall D023, Lok Fu Bazaar, Lok Fu Plaza, 198 Junction Road, Wang Tau Hom, Kowloon|Wong Tai Sin District|22.3385753|114.1872659|yipsing88@yahoo.com|26812197|37479383|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers|2004
651|Olivine Recruitment Services Limited|寶翠僱傭服務有限公司|Shop 19, Ground floor, Bank Building, 259-269 Des Voeux Road West, Sai Ying Pun, Hong Kong|Central and Western District|22.2881526|114.1410092|olivinehk@yahoo.com.hk|28191069|28160031|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2005
801|HAPPY YO YO OVERSEA EMPLOYMENT AGENCY|樂瑤海外僱傭公司|Shop 1A7, Ground floor, Whampoa Estate, 99-109 Dock Street, Hung Hom, Kowloon|Kowloon City District|22.3062259|114.1869537|info@happyyoyo.com.hk|29945459|23030540|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2006
1601|Home Brilliant Domestic Helpers Centre Trading Company Limited|家亨僱傭中心貿易有限公司|Flat C3, 4th floor, Block C, Paterson Building, 37 Paterson Street, Causeway Bay, Hong Kong|Wan Chai District|22.2809264|114.1852737|homebdhc@hotmail.com|28908689||Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search, Other Non-office Worker|2012
1726|GLOBAL PRIME EXECUTIVE CONSULTANTS|高寶人力資源顧問|23rd floor, Tesbury Centre, 28 Queen's Road East, Admiralty, Hong Kong|Central and Western District|22.2773875|114.1684126|general@globalprime.com.hk|28388763||Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2012
1957|ACTIVE GLOBAL SPECIALISED CAREGIVERS (HONG KONG) PTE LIMITED|活力國際專業護理有限公司|Unit 1307-08, 13th floor, Lucky Centre, 165-171 Wan Chai Road, Wan Chai, Hong Kong|Wan Chai District|22.2768993|114.1770513|hk@activeglobalcaregiver.com|34262909|30139815|Foreign Domestic Helpers, Other Non-office Worker|2013
1991|Wing On Human Resources Limited|永安人力資源有限公司|Room 1201, 12th floor, Tai Sang Bank Building, 132 Des Voeux Road Central, Central, Hong Kong|Central and Western District|22.285146|114.1547221|louis@wingonprofessional.com|25438391|28543560|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2013
2370|Great Helper Employment Agency|好女傭中介公司|Shop 30, Ground floor, Yee Fung Garden, 38 Ma Tin Road, Yuen Long, New Territories|Yuen Long District|22.4411898|114.0250036|lawrencewu1004@yahoo.com.hk|34800667|34804227|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2015
2703|GREEN SELECT EMPLOYMENT SERVICES CO.|綠妍僱傭服務公司|Room 511, 5th floor, Sun Ling Plaza, 30 On Kui Street, Fanling, New Territories|North District|22.4986884|114.1466864|greenselect.co@gmail.com|24898738|24898206|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2015
2929|Grand Excellent Intercontinental Recruitment Agency|盈富國際人力資源中心|Unit 1, 17th floor, Trust Centre, 912 Cheung Sha Wan Road, Lai Chi Kok, Kowloon|Sham Shui Po District|22.337036|114.146213|admin@ky-ge.com.hk|23074931|23074936|Foreign Domestic Helpers, Local Domestic Helpers, Office Staff / Executive Search|2016
3086|SYNTHESIS CONSULTANCY LIMITED|綜觀顧問有限公司|Room 601, 6th floor, Yue Xiu Building, 160-174 Lockhart Road, Wan Chai, Hong Kong|Wan Chai District|22.278086|114.1737821|info@synthesis.com.hk|21550322|31182934|Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2016
3160|WIN ELEGANT DEVELOPMENT LIMITED|凱雋發展有限公司|6th floor, Woon Lee Commercial Building, 7-9 Austin Avenue, Tsim Sha Tsui, Kowloon|Yau Tsim Mong District|22.3020689|114.1759284|winelegantdevltd@gmail.com|39195823||Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search|2016
3163|EDU CO.|華業創領|Room 117, 1st floor, Goodwill Industrial Building, 36-44 Pak Tin Par Street, Tsuen Wan, New Territories|Tsuen Wan District|22.374197|114.1099725|supply633@126.com|81033987||Foreign Domestic Helpers, Imported Worker, Local Domestic Helpers, Office Staff / Executive Search, Other Non-office Worker|2016
