govid|english_name|fax

801|HAPPY YO YO OVERSEA EMPLOYMENT AGENCY|23030540
3343|KING'S ONE EMPLOYMENT AGENCY|23030540

2929|Grand Excellent Intercontinental Recruitment Agency|23074936
3847|Grand Bee Trade Plus|23074936

1471|ASIA EXPANSION LIMITED|30201825
876|VIEW RISE MAID SERVICE|30201825

1484|MADAM JOE PROFESSIONAL DOMESTIC SERVICES COMPANY|35202170
2194|Rising Sun Employment Agency|35202170

7|Baguio Investment Company Limited|35792722
61|B & A Co|35792722

141|H L&C; Employment Agency Limited|28904000
139|H L&C; Employment Agency Limited|28904000
325|Talent Source Limited|28904000

258|Asia Selective Employment Agency|23922698
475|All Round Employment Agency|23922698

370|Cheer Lots Employment Services Limited|31623402
309|Excel Choice Employment Services Limited|31623402

475|All Round Employment Agency|23922698
258|Asia Selective Employment Agency|23922698

3519|CORDIAL EMPLOYMENT AGENCY CO|23328803
1691|WANG FULLCO EMPLOYMENT AGENCY LIMITED|23328803

2007|S & B Employment & Travel Centre|23326320
3897|Snow Employment & Travel Centre|23326320

1174|Grand Royal (AFT) Employment|27648688
1818|Grand Palace Employment Agency Centre|27648688
3382|Grand Royal (AFT) Employment|27648688

1397|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1398|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1399|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1400|FURTHER CREATION EMPLOYMENT CENTRE|28697900
3242|Kex Industrial Company|28697900
53|Finest International Limited|28697900
54|Finest International Limited|28697900
64|Superiority International Limited|28697900

1608|Radiant Maid Agency Service Limited|27800050
3237|Radiant Maid Agency Service Limited|27800050

1651|VIVA EMPLOYMENT SERVICES LIMITED|27890223
3630|VIVA EMPLOYMENT SERVICES LIMITED|27890223

1687|MY SWEET HOME EMPLOYMENT AGENCY|28111513
3516|EMSON EMPLOYMENT AGENCY|28111513

1690|MY SWEET HOME EMPLOYMENT AGENCY|21807505
3618|EAST STAR RECRUITMENT|21807505

3890|JIM CITY EMPLOYMENT AGENCY|27877518
1737|HAPPY HOUSE EMPLOYMENT AGENCY|27877518
2001|FAVOR MAID EMPLOYMENT AGENCY|27877518
2836|GOLDEN PEAK EMPLOYMENT AGENCY|27877518

3897|Snow Employment & Travel Centre|23326320
2007|S & B Employment & Travel Centre|23326320

3584|HKBS|23664299
3585|e-Job|23664299

3585|e-Job|23664299
3584|HKBS|23664299

2387|KING BEST HOLDINGS LIMITED|25494838
1796|Bandung Enterprises|25494838

2461|Star Helper Limited|82662846
3843|THE ONE HELPER AGENCY|82662846

2587|FamilyMaid Employment Services Limited|35868860
2588|FamilyMaid Employment Services Limited|35868860

2733|TAKEME EMPLOYMENT AGENCY|35655219
3384|TAKEME EMPLOYMENT AGENCY|35655219

3202|CITY EMPLOYMENT PARADISE CO.|25660711
3320|ISLAND WEST EMPLOYMENT PARADISE CO.|25660711

3412|SCENEWAY EMPLOYMENT PARADISE CO.|27726706
3206|CITY EMPLOYMENT PARADISE CO.|27726706

54|Finest International Limited|28697900
1397|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1398|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1399|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1400|FURTHER CREATION EMPLOYMENT CENTRE|28697900
3242|Kex Industrial Company|28697900
53|Finest International Limited|28697900
64|Superiority International Limited|28697900

168|Smart Metro Consultants Limited|21119925
604|M & M Development Company Limited|21119925

222|ASIA-ONE EMPLOYMENT AGENCY|23685555
223|ASIA-ONE EMPLOYMENT AGENCY|23685555
224|ASIA-ONE EMPLOYMENT AGENCY|23685555

309|Excel Choice Employment Services Limited|31623402
370|Cheer Lots Employment Services Limited|31623402

