_id,name,address,license_start_date,license_end_date,representative,status,website,email,telephones
_id,name,address,license_start_date,license_end_date,representative,status,website,email,telephones
77ccdeab80b442359836df15ba5e47c22da2f898|168 PLACEMENT CORPORATION|2F&3FCORA ROSE BRIDALS CUENCA GONZAGA JUAN BACOLOD|3/28/2001|3/28/2003|MA LISA G LOPEZ|Delisted|||4336267
ab1bc913faa62ce91adfb80bcdf8c155228d9b88|ABDEN CONSTRUCTION|METRO MANILA||||Cancelled|||
aad6b447e93f1cb48e08aaa1a5c89c0e096eb66c|3D MANPOWER & PLACEMENT SERVICES CORP.|50 K8 ST EAST KAMIAS CUBAO, QUEZON CITY|9/26/2005|3/26/2006|ADARLO P. FALOGME|Cancelled|||9203043
9b4cb18a1d5a5f146a4c876d0a898637aba89d0b|888 INTERNATIONAL MANPOWER CORP|2086 CAROLINA ST MALATE MANILA MANILA|4/22/1994|4/21/1996|MS JENNIFER ENANO|Delisted|||
f84833b8d74418508de1db412bf3901323297076|A & A ENGINEERING|345-F J.TEODORO COR 10TH AVE GRACE PARK CALOOCAN CITY|||MR ANTONIO M ALLAMEN|Cancelled|||
04386efdc34bfd0cea58503da79f84859ccff87a|A & C UNIVERSAL ENTERPRISES, INC.|29 DATA ST BGY DON MANUEL QUEZON CITY|8/25/1995|2/25/1996|MR ABELARDO P PANLAQUI|Delisted|||7322154
a4cc7ae2a6129a4455de50935fb627320255b2b9|A & G HEALTH RECRUITMENT AGENCY CO.|RM.302 3RD FLR 1928 LEON GUINTO MALATE MANILA|8/24/1995|8/24/1997|MR RENE F GAVIOLA|Delisted|||
be32bf4306db29bd3db1145b1d4c7b8c1a41bcab|A & L MANAGEMENT MANPOWER SERVICES|524 A.FLORES ST ERMITA, MANILA|||MS FLORENTINA A LOZANO|Forever Banned|||
7ebf92c98b246265253dcf684832a2d54a6ea495|A CONSTEEL CONSTRUCTION COMPANY INC|458 BARRANCA DRIVE MANDALUYONG|||MR RICARDO M ABAD|Inactive|||
36cb01bdd28177648b8e21d153100bd560496de8|A L DE CASTRO CONSTRUCTION|SUITE 2028-2029 VV SOLIVEN BLDG EDSA SAN JUAN|||MR ARSENIO L DE CASTRO|Delisted|||
97e3379c34f4517f5d3c4a2c61c255133f83d4b1|A/J MANPOWER SERVICES|RM.601-A CULMAT BLDG 127 E.RODRIGUEZ SR AVE QUEZON CITY|||MS AMELIA G TSOU|Forever Banned|||7214317
1e416ba169b63854996f71b7326446c128d98bab|AB ADELANTE MANPOWER RESOURCES INC|MABUHAY BLDG NO 6 GOMEZ EXTENSION BRGY 3 LUCENA CITY, QUEZON|6/5/2002|6/4/2004|MARY JANE SEMILLA|Cancelled|||
0bd1d30b3ba7a04ca79ba49ae7d44c0d83fe8ced|ABACUS INTEGRATED SERVICES INC|5F VALDERRAMA BLDG 107 ESTEBAN ST MAKATI|5/16/1986|5/16/1988|MS CONSUELO M VALDERRAMA|Delisted|||
562de29ee1ca21abc0f86dbf22ab5123a042a23e|ABC MANILA INTERNATIONAL INCORPORATED|3F 1951 A LINAO ST MALATE, MANILA|6/19/2012|6/18/2016|SARCAWI HASANA P NASSER|Cancelled|||4938396
4e697c88cd0007a8a59c0faf217548649876691a|ABINEXTRA GENERAL SERVICES|2/F RAMONA BLDG 1805 SAN MARCELINO MALATE, MANILA|||MR GABRIEL MASCARDO|Forever Banned|||
3f306791fca455265f0e27fe15427adbeaf959b7|ABOITIZ SHIPPING CORPORATION|PIER 4 NORTH HARBOR PO BOX 2709 PORT AREA, MANILA|9/10/1986|9/10/1987|MR JESUS P CARDENAS|Inactive|||
7606c1a9972b8af39ae174c7b9182537873f5598|AC AGUIRRE MANAGEMENT CORPORATION|BF COND ADUANA CORNER SOLANA INTRAMUROS, MANILA|||MR ALBERT AGUIRRE|Inactive|||
f81e0be21140fc3daa6cf8695d341b0dea0edf81|ACCOLADE MARITIME AGENCY INC|***2038 FB HARRISON ST PASAY CITY|9/13/1991|9/13/1993|MR LEONILO E ATOK|Delisted|||8334706
