govid|english_name|email

139|H L&C; Employment Agency Limited|marketing@hlc.com.hk
141|H L&C; Employment Agency Limited|marketing@hlc.com.hk
325|Talent Source Limited|marketing@hlc.com.hk

141|H L&C; Employment Agency Limited|marketing@hlc.com.hk
139|H L&C; Employment Agency Limited|marketing@hlc.com.hk
325|Talent Source Limited|marketing@hlc.com.hk

224|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk
222|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk
223|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk

258|Asia Selective Employment Agency|donna821128@yahoo.com.hk
475|All Round Employment Agency|donna821128@yahoo.com.hk

325|Talent Source Limited|marketing@hlc.com.hk
139|H L&C; Employment Agency Limited|marketing@hlc.com.hk
141|H L&C; Employment Agency Limited|marketing@hlc.com.hk

475|All Round Employment Agency|donna821128@yahoo.com.hk
258|Asia Selective Employment Agency|donna821128@yahoo.com.hk

1140|MASS TRINITY INTERNATIONAL LIMITED|topservices.co@gmail.com
14|Top Services and Company|topservices.co@gmail.com
1621|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|topservices.co@gmail.com

1397|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1398|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1399|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1400|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com

1398|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1397|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1399|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1400|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com

1621|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|topservices.co@gmail.com
1140|MASS TRINITY INTERNATIONAL LIMITED|topservices.co@gmail.com
14|Top Services and Company|topservices.co@gmail.com

1890|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|maggie@asia-ex.com.hk
1445|Asia-Ex Employment Centre|maggie@asia-ex.com.hk

1891|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|maggie@warmhouse.com.hk
4216|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|maggie@warmhouse.com.hk

1896|KAMPO EMPLOYMENT AGENCY|kampo.agency@gmail.com
1895|KAMPO EMPLOYMENT AGENCY|kampo.agency@gmail.com

2306|FORE SIGNAL INTERNATIONAL LIMITED|alankong@fore-signal.com
4191|Jame Employment Agencies Centre|alankong@fore-signal.com

2587|FamilyMaid Employment Services Limited|info@familymaid.hk
2588|FamilyMaid Employment Services Limited|info@familymaid.hk

2616|REMARKABLE EMPLOYMENT CENTRE|remarkablectr@gmail.com
4014|REMARKABLE EMPLOYMENT CENTRE|remarkablectr@gmail.com

3204|CITY EMPLOYMENT PARADISE CO.|yuenlongemployment@yahoo.com.hk
3209|TSUEN WAN EMPLOYMENT PARADISE CO.|yuenlongemployment@yahoo.com.hk

3577|Ensemble Human Resources Co. Limited|ensemblehrco@gmail.com
3489|Ensemble Human Resources Co. Limited|ensemblehrco@gmail.com
4063|Ensemble Human Resources Co. Limited|ensemblehrco@gmail.com

3623|Hong Kong Cambodian Human Resource Association|rose@jcenterprises.com.hk
3624|Hong Kong Cambodian Labour and Vocational Training Centre|rose@jcenterprises.com.hk

3624|Hong Kong Cambodian Labour and Vocational Training Centre|rose@jcenterprises.com.hk
3623|Hong Kong Cambodian Human Resource Association|rose@jcenterprises.com.hk

3785|Megasea Employment Agency Limited|info@megasea.hk
291|Megasea Employment Agency Limited|info@megasea.hk
292|Megasea Employment Agency Limited|info@megasea.hk
293|Megasea Employment Agency Limited|info@megasea.hk
294|Megasea Employment Agency Limited|info@megasea.hk

3917|POWERFUL JOINER LIMITED|info@powerfuljoiner.com.hk
3918|POWERFUL JOINER LIMITED|info@powerfuljoiner.com.hk

3918|POWERFUL JOINER LIMITED|info@powerfuljoiner.com.hk
3917|POWERFUL JOINER LIMITED|info@powerfuljoiner.com.hk

3945|KL HOME CARE LIMITED|gladys@cyberchina.com.hk
4114|KL HOME CARE LIMITED|gladys@cyberchina.com.hk

4069|MANNA EMPLOYMENT AGENCY COMPANY LIMITED|imalicetsoi@gmail.com
4070|MANNA EMPLOYMENT AGENCY COMPANY LIMITED|imalicetsoi@gmail.com

4070|MANNA EMPLOYMENT AGENCY COMPANY LIMITED|imalicetsoi@gmail.com
4069|MANNA EMPLOYMENT AGENCY COMPANY LIMITED|imalicetsoi@gmail.com

4114|KL HOME CARE LIMITED|gladys@cyberchina.com.hk
3945|KL HOME CARE LIMITED|gladys@cyberchina.com.hk

4122|Helperspro Employment Agency Limited|info@helperspro.com.hk
4121|Helperspro Employment Agency Limited|info@helperspro.com.hk

4176|HOLY EMPLOYMENT CENTRE LIMITED|hoyipea@yahoo.com.hk
4190|Ho Yip Employment Agency Limited|hoyipea@yahoo.com.hk

4190|Ho Yip Employment Agency Limited|hoyipea@yahoo.com.hk
4176|HOLY EMPLOYMENT CENTRE LIMITED|hoyipea@yahoo.com.hk

14|Top Services and Company|topservices.co@gmail.com
1140|MASS TRINITY INTERNATIONAL LIMITED|topservices.co@gmail.com
1621|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|topservices.co@gmail.com

70|Great Top Employment Service Centre|greattop@pacific.net.hk
208|Mabros Employment Agency|greattop@pacific.net.hk

75|Silver Region Development Limited|info@wintip.com.hk
147|Wintip Employment Services Limited|info@wintip.com.hk

86|D.D. Domestic Services|domestic@netvigator.com
197|KA WO CONSULTANTS LIMITED|domestic@netvigator.com
424|Home De Fairy Consultants Limited|domestic@netvigator.com

91|Wellmark Employment Services Consultant|wesc@netvigator.com
93|Wellmark Employment Services Consultant|wesc@netvigator.com

93|Wellmark Employment Services Consultant|wesc@netvigator.com
91|Wellmark Employment Services Consultant|wesc@netvigator.com

147|Wintip Employment Services Limited|info@wintip.com.hk
75|Silver Region Development Limited|info@wintip.com.hk

179|C.T. Maids Limited|sin@maidsdot.com
2481|MAIDSDOT.COM LIMITED|sin@maidsdot.com

208|Mabros Employment Agency|greattop@pacific.net.hk
70|Great Top Employment Service Centre|greattop@pacific.net.hk

222|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk
223|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk
224|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk

223|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk
222|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk
224|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk

265|Mrs. MA's Employment Services|masma@netvigator.com
266|Mrs. MA's Employment Services|masma@netvigator.com
