govid|english_name|email

100|H L&C; Employment Agency Limited|marketing@hlc.com.hk
101|H L&C; Employment Agency Limited|marketing@hlc.com.hk
247|Talent Source Limited|marketing@hlc.com.hk

101|H L&C; Employment Agency Limited|marketing@hlc.com.hk
100|H L&C; Employment Agency Limited|marketing@hlc.com.hk
247|Talent Source Limited|marketing@hlc.com.hk

171|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk
166|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk
168|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk

191|Asia Selective Employment Agency|donna821128@yahoo.com.hk
369|All Round Employment Agency|donna821128@yahoo.com.hk

247|Talent Source Limited|marketing@hlc.com.hk
100|H L&C; Employment Agency Limited|marketing@hlc.com.hk
101|H L&C; Employment Agency Limited|marketing@hlc.com.hk

369|All Round Employment Agency|donna821128@yahoo.com.hk
191|Asia Selective Employment Agency|donna821128@yahoo.com.hk

390|Jedegal Consultants Co.|info@jedegalcc.com
389|Jedegal Consultants Co.|info@jedegalcc.com

885|MASS TRINITY INTERNATIONAL LIMITED|topservices.co@gmail.com
12|Top Services and Company|topservices.co@gmail.com
1248|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|topservices.co@gmail.com

1066|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1067|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1068|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1069|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com

1068|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1066|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1067|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1069|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com

1248|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|topservices.co@gmail.com
12|Top Services and Company|topservices.co@gmail.com
885|MASS TRINITY INTERNATIONAL LIMITED|topservices.co@gmail.com

1437|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|maggie@asia-ex.com.hk
1109|Asia-Ex Employment Centre|maggie@asia-ex.com.hk

1438|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|maggie@warmhouse.com.hk
1439|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|maggie@warmhouse.com.hk

1442|KAMPO EMPLOYMENT AGENCY|kampo.agency@gmail.com
1441|KAMPO EMPLOYMENT AGENCY|kampo.agency@gmail.com

1629|Ensemble Human Resources Co. Limited|ensemblehrco@gmail.com
1630|Ensemble Human Resources Co. Limited|ensemblehrco@gmail.com
1631|Ensemble Human Resources Co. Limited|ensemblehrco@gmail.com

1911|TAKEME EMPLOYMENT AGENCY|takemeagency@yahoo.com.hk
1912|TAKEME EMPLOYMENT AGENCY|takemeagency@yahoo.com.hk

2013|Grand Excellent Intercontinental Recruitment Agency|admin@ky-ge.com.hk
2550|Grand Bee Trade Plus|admin@ky-ge.com.hk

2150|CITY EMPLOYMENT PARADISE CO.|yuenlongemployment@yahoo.com.hk
2153|TSUEN WAN EMPLOYMENT PARADISE CO.|yuenlongemployment@yahoo.com.hk

2408|Hong Kong Cambodian Human Resource Association|rose@jcenterprises.com.hk
2409|Hong Kong Cambodian Labour and Vocational Training Centre|rose@jcenterprises.com.hk

2409|Hong Kong Cambodian Labour and Vocational Training Centre|rose@jcenterprises.com.hk
2408|Hong Kong Cambodian Human Resource Association|rose@jcenterprises.com.hk

2575|KL HOME CARE LIMITED|gladys@cyberchina.com.hk
2576|KL HOME CARE LIMITED|gladys@cyberchina.com.hk

2576|KL HOME CARE LIMITED|gladys@cyberchina.com.hk
2575|KL HOME CARE LIMITED|gladys@cyberchina.com.hk

2589|POWERFUL JOINER LIMITED|info@powerfuljoiner.com.hk
2590|POWERFUL JOINER LIMITED|info@powerfuljoiner.com.hk

2590|POWERFUL JOINER LIMITED|info@powerfuljoiner.com.hk
2589|POWERFUL JOINER LIMITED|info@powerfuljoiner.com.hk

2928|MY SWEET HOME EMPLOYMENT AGENCY|daniel@mysweethome.hk
2337|EMSON EMPLOYMENT AGENCY|daniel@mysweethome.hk

12|Top Services and Company|topservices.co@gmail.com
1248|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|topservices.co@gmail.com
885|MASS TRINITY INTERNATIONAL LIMITED|topservices.co@gmail.com

48|Great Top Employment Service Centre|greattop@pacific.net.hk
157|Mabros Employment Agency|greattop@pacific.net.hk

52|Silver Region Development Limited|info@wintip.com.hk
104|Wintip Employment Services Limited|info@wintip.com.hk

61|D.D. Domestic Services|domestic@netvigator.com
150|KA WO CONSULTANTS LIMITED|domestic@netvigator.com
328|Home De Fairy Consultants Limited|domestic@netvigator.com

66|Wellmark Employment Services Consultant|wesc@netvigator.com
67|Wellmark Employment Services Consultant|wesc@netvigator.com

