govid|english_name|email

97|H L&C; Employment Agency Limited|marketing@hlc.com.hk
243|Talent Source Limited|marketing@hlc.com.hk
98|H L&C; Employment Agency Limited|marketing@hlc.com.hk

98|H L&C; Employment Agency Limited|marketing@hlc.com.hk
243|Talent Source Limited|marketing@hlc.com.hk
97|H L&C; Employment Agency Limited|marketing@hlc.com.hk

167|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk
162|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk
164|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk

187|Asia Selective Employment Agency|donna821128@yahoo.com.hk
365|All Round Employment Agency|donna821128@yahoo.com.hk

243|Talent Source Limited|marketing@hlc.com.hk
97|H L&C; Employment Agency Limited|marketing@hlc.com.hk
98|H L&C; Employment Agency Limited|marketing@hlc.com.hk

365|All Round Employment Agency|donna821128@yahoo.com.hk
187|Asia Selective Employment Agency|donna821128@yahoo.com.hk

386|Jedegal Consultants Co.|info@jedegalcc.com
385|Jedegal Consultants Co.|info@jedegalcc.com

877|MASS TRINITY INTERNATIONAL LIMITED|topservices.co@gmail.com
12|Top Services and Company|topservices.co@gmail.com
1235|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|topservices.co@gmail.com

1057|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1058|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1059|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1060|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com

1059|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1057|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1058|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com
1060|FURTHER CREATION EMPLOYMENT CENTRE|cs@furthercreation.com

1235|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|topservices.co@gmail.com
12|Top Services and Company|topservices.co@gmail.com
877|MASS TRINITY INTERNATIONAL LIMITED|topservices.co@gmail.com

1420|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|maggie@asia-ex.com.hk
1099|Asia-Ex Employment Centre|maggie@asia-ex.com.hk

1421|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|maggie@warmhouse.com.hk
1422|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|maggie@warmhouse.com.hk

1425|KAMPO EMPLOYMENT AGENCY|kampo.agency@gmail.com
1424|KAMPO EMPLOYMENT AGENCY|kampo.agency@gmail.com

1608|Ensemble Human Resources Co. Limited|ensemblehrco@gmail.com
1609|Ensemble Human Resources Co. Limited|ensemblehrco@gmail.com
1610|Ensemble Human Resources Co. Limited|ensemblehrco@gmail.com

1882|TAKEME EMPLOYMENT AGENCY|takemeagency@yahoo.com.hk
1883|TAKEME EMPLOYMENT AGENCY|takemeagency@yahoo.com.hk

1980|Grand Excellent Intercontinental Recruitment Agency|admin@ky-ge.com.hk
2506|Grand Bee Trade Plus|admin@ky-ge.com.hk

2119|CITY EMPLOYMENT PARADISE CO.|yuenlongemployment@yahoo.com.hk
2122|TSUEN WAN EMPLOYMENT PARADISE CO.|yuenlongemployment@yahoo.com.hk

2364|Hong Kong Cambodian Human Resource Association|rose@jcenterprises.com.hk
2365|Hong Kong Cambodian Labour and Vocational Training Centre|rose@jcenterprises.com.hk

2365|Hong Kong Cambodian Labour and Vocational Training Centre|rose@jcenterprises.com.hk
2364|Hong Kong Cambodian Human Resource Association|rose@jcenterprises.com.hk

2531|KL HOME CARE LIMITED|gladys@cyberchina.com.hk
2532|KL HOME CARE LIMITED|gladys@cyberchina.com.hk

2532|KL HOME CARE LIMITED|gladys@cyberchina.com.hk
2531|KL HOME CARE LIMITED|gladys@cyberchina.com.hk

2545|POWERFUL JOINER LIMITED|info@powerfuljoiner.com.hk
2546|POWERFUL JOINER LIMITED|info@powerfuljoiner.com.hk

2546|POWERFUL JOINER LIMITED|info@powerfuljoiner.com.hk
2545|POWERFUL JOINER LIMITED|info@powerfuljoiner.com.hk

2874|MY SWEET HOME EMPLOYMENT AGENCY|daniel@mysweethome.hk
2293|EMSON EMPLOYMENT AGENCY|daniel@mysweethome.hk

12|Top Services and Company|topservices.co@gmail.com
1235|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|topservices.co@gmail.com
877|MASS TRINITY INTERNATIONAL LIMITED|topservices.co@gmail.com

47|Great Top Employment Service Centre|greattop@pacific.net.hk
154|Mabros Employment Agency|greattop@pacific.net.hk

51|Silver Region Development Limited|info@wintip.com.hk
101|Wintip Employment Services Limited|info@wintip.com.hk

60|D.D. Domestic Services|domestic@netvigator.com
147|KA WO CONSULTANTS LIMITED|domestic@netvigator.com
324|Home De Fairy Consultants Limited|domestic@netvigator.com

65|Wellmark Employment Services Consultant|wesc@netvigator.com
66|Wellmark Employment Services Consultant|wesc@netvigator.com

66|Wellmark Employment Services Consultant|wesc@netvigator.com
65|Wellmark Employment Services Consultant|wesc@netvigator.com

101|Wintip Employment Services Limited|info@wintip.com.hk
51|Silver Region Development Limited|info@wintip.com.hk

130|C.T. Maids Limited|sin@maidsdot.com
1758|MAIDSDOT.COM LIMITED|sin@maidsdot.com

154|Mabros Employment Agency|greattop@pacific.net.hk
47|Great Top Employment Service Centre|greattop@pacific.net.hk

162|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk
164|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk
167|ASIA-ONE EMPLOYMENT AGENCY|admin@asiaone.hk

